id;crediteur;debiteur;method
1;feed;CSS Rubber online;Prairie
2;Enhanced Manors JBOD;Focused;Research
3;revolutionize;cultivate executive;asymmetric Technician
4;multi-byte;black;Total
5;Latvian Lats;e-tailers;Soft Alabama Toys
6;channels;Planner Division;Jewelery dot-com deposit
7;maroon Chair;feed withdrawal;Table
8;Steel copying Money Market Account;groupware;microchip Ports neutral
9;withdrawal Metal Intelligent;Rustic Frozen Keyboard Electronics leverage;Future solid state Legacy
10;Steel Fresh;transparent clicks-and-mortar;Granite invoice human-resource
